entry_index,exit_index,entry_time,exit_time,position,entry_price,exit_price,pnl,size,equity_after,exit_reason
1459,1467,2010-04-01 14:00:00,2010-04-01 23:00:00,long,4369.25,4372.75,798.0,228,1003471.0,eod
1485,1494,2010-04-05 01:00:00,2010-04-05 10:00:00,long,4384.25,4397.5,3021.0,228,1004269.0,take_profit
1496,1504,2010-04-05 12:00:00,2010-04-05 21:00:00,long,4396.0,4391.5,-1021.5,227,1007290.0,stop_loss
1506,1529,2010-04-05 23:00:00,2010-04-06 23:00:00,long,4391.75,4397.25,1248.5,227,1006268.5,eod
1554,1556,2010-04-08 01:00:00,2010-04-08 03:00:00,long,4394.25,4389.75,-1021.5,227,1007517.0,stop_loss
1559,1562,2010-04-08 06:00:00,2010-04-08 09:00:00,long,4391.5,4382.25,-2099.75,227,1006495.5,stop_loss
1563,1565,2010-04-08 10:00:00,2010-04-08 12:00:00,long,4387.5,4401.75,3234.75,227,1004395.75,take_profit
1567,1575,2010-04-08 14:00:00,2010-04-08 23:00:00,long,4401.5,4400.25,-283.75,227,1007630.5,eod
1694,1695,2010-04-16 03:00:00,2010-04-16 04:00:00,long,4449.25,4451.75,560.0,224,1007346.75,eow
1698,1699,2010-04-16 07:00:00,2010-04-16 08:00:00,long,4451.0,4449.5,-336.0,224,1007906.75,eow
1700,1701,2010-04-16 09:00:00,2010-04-16 10:00:00,long,4445.25,4443.25,-448.0,224,1007570.75,eow
1704,1705,2010-04-16 13:00:00,2010-04-16 14:00:00,long,4428.75,4430.75,450.0,225,1007122.75,eow
1714,1725,2010-04-19 00:00:00,2010-04-19 11:00:00,long,4423.5,4412.0,-2599.0,226,1007572.75,stop_loss
1726,1727,2010-04-19 12:00:00,2010-04-19 13:00:00,long,4413.25,4408.5,-1073.5,226,1004973.75,stop_loss
1728,1736,2010-04-19 14:00:00,2010-04-19 23:00:00,long,4423.25,4432.75,2147.0,226,1003900.25,eod
1737,1753,2010-04-20 00:00:00,2010-04-20 16:00:00,long,4434.0,4460.25,5906.25,225,1006047.25,take_profit
1756,1759,2010-04-20 20:00:00,2010-04-20 23:00:00,long,4457.5,4459.0,336.0,224,1011953.5,eod
1784,1789,2010-04-22 01:00:00,2010-04-22 06:00:00,long,4443.75,4434.25,-2137.5,225,1012289.5,stop_loss
1790,1792,2010-04-22 07:00:00,2010-04-22 09:00:00,long,4435.75,4428.75,-1575.0,225,1010152.0,stop_loss
1793,1794,2010-04-22 10:00:00,2010-04-22 11:00:00,long,4440.0,4432.25,-1743.75,225,1008577.0,stop_loss
1795,1796,2010-04-22 12:00:00,2010-04-22 13:00:00,long,4438.0,4454.75,3768.75,225,1006833.25,take_profit
1798,1799,2010-04-22 15:00:00,2010-04-22 16:00:00,long,4463.5,4455.0,-1904.0,224,1010602.0,stop_loss
1801,1805,2010-04-22 19:00:00,2010-04-22 23:00:00,long,4453.75,4452.25,-336.0,224,1008698.0,eod
1806,1807,2010-04-23 00:00:00,2010-04-23 01:00:00,long,4454.25,4455.0,168.0,224,1008362.0,eow
1809,1810,2010-04-23 03:00:00,2010-04-23 04:00:00,long,4455.0,4461.75,1512.0,224,1008530.0,eow
1812,1813,2010-04-23 06:00:00,2010-04-23 07:00:00,long,4459.75,4462.5,616.0,224,1010042.0,eow
1814,1815,2010-04-23 08:00:00,2010-04-23 09:00:00,long,4463.5,4467.0,784.0,224,1010658.0,eow
1816,1817,2010-04-23 10:00:00,2010-04-23 11:00:00,long,4462.0,4460.5,-336.0,224,1011442.0,eow
1818,1819,2010-04-23 12:00:00,2010-04-23 13:00:00,long,4465.75,4464.25,-334.5,223,1011106.0,eow
1820,1821,2010-04-23 14:00:00,2010-04-23 15:00:00,long,4472.75,4472.5,-55.75,223,1010771.5,eow
1854,1857,2010-04-27 02:00:00,2010-04-27 05:00:00,long,4469.5,4463.5,-1338.0,223,1010715.75,stop_loss
1859,1863,2010-04-27 07:00:00,2010-04-27 11:00:00,long,4461.75,4433.75,-6272.0,224,1009377.75,stop_loss
1864,1867,2010-04-27 12:00:00,2010-04-27 15:00:00,long,4433.25,4425.75,-1687.5,225,1003105.75,stop_loss
1870,1874,2010-04-27 19:00:00,2010-04-27 23:00:00,long,4431.5,4432.0,112.5,225,1001418.25,eod
1876,1879,2010-04-28 01:00:00,2010-04-28 04:00:00,long,4431.5,4424.0,-1687.5,225,1001530.75,stop_loss
1880,1883,2010-04-28 05:00:00,2010-04-28 08:00:00,long,4427.75,4441.75,3150.0,225,999843.25,take_profit
1886,1897,2010-04-28 11:00:00,2010-04-28 23:00:00,long,4417.75,4427.25,2147.0,226,1002993.25,eod
1899,1907,2010-04-29 01:00:00,2010-04-29 09:00:00,long,4427.0,4442.75,3543.75,225,1005140.25,take_profit
1908,1920,2010-04-29 10:00:00,2010-04-29 23:00:00,long,4452.75,4460.75,1792.0,224,1008684.0,eod
1921,1922,2010-04-30 00:00:00,2010-04-30 01:00:00,long,4460.75,4459.0,-392.0,224,1010476.0,eow
1923,1924,2010-04-30 02:00:00,2010-04-30 03:00:00,long,4462.25,4465.25,672.0,224,1010084.0,eow
1927,1928,2010-04-30 06:00:00,2010-04-30 07:00:00,long,4462.25,4466.5,952.0,224,1010756.0,eow
1930,1931,2010-04-30 09:00:00,2010-04-30 10:00:00,long,4453.5,4451.0,-560.0,224,1011708.0,eow
1932,1933,2010-04-30 11:00:00,2010-04-30 12:00:00,long,4447.0,4427.0,-4480.0,224,1011148.0,stop_loss
1934,1935,2010-04-30 13:00:00,2010-04-30 14:00:00,long,4430.25,4426.5,-843.75,225,1006668.0,eow
1936,1937,2010-04-30 15:00:00,2010-04-30 16:00:00,long,4421.25,4425.0,847.5,226,1005824.25,eod
1944,1955,2010-05-03 00:00:00,2010-05-03 11:00:00,long,4424.5,4446.25,4915.5,226,1006671.75,take_profit
1956,1959,2010-05-03 12:00:00,2010-05-03 15:00:00,long,4458.25,4448.25,-2240.0,224,1011587.25,stop_loss
1960,1966,2010-05-03 16:00:00,2010-05-03 23:00:00,long,4446.0,4445.75,-56.0,224,1009347.25,eod
1967,1971,2010-05-04 00:00:00,2010-05-04 04:00:00,long,4446.25,4440.25,-1344.0,224,1009291.25,stop_loss
1973,1975,2010-05-04 06:00:00,2010-05-04 08:00:00,long,4436.5,4425.25,-2531.25,225,1007947.25,stop_loss
1978,1979,2010-05-04 11:00:00,2010-05-04 12:00:00,long,4388.5,4383.5,-1135.0,227,1005416.0,stop_loss
1980,1981,2010-05-04 13:00:00,2010-05-04 14:00:00,long,4388.0,4383.0,-1135.0,227,1004281.0,stop_loss
1982,1989,2010-05-04 15:00:00,2010-05-04 23:00:00,long,4388.0,4389.25,283.75,227,1003146.0,eod
1990,1993,2010-05-05 00:00:00,2010-05-05 03:00:00,long,4389.5,4383.25,-1418.75,227,1003429.75,stop_loss
1994,1996,2010-05-05 04:00:00,2010-05-05 06:00:00,long,4390.75,4385.0,-1305.25,227,1002011.0,stop_loss
1997,1998,2010-05-05 07:00:00,2010-05-05 08:00:00,long,4383.5,4369.5,-3192.0,228,1000705.75,stop_loss
2000,2004,2010-05-05 10:00:00,2010-05-05 14:00:00,long,4380.5,4373.0,-1710.0,228,997513.75,stop_loss
2005,2012,2010-05-05 15:00:00,2010-05-05 23:00:00,long,4378.25,4381.0,627.0,228,995803.75,eod
2013,2015,2010-05-06 00:00:00,2010-05-06 02:00:00,long,4380.5,4371.0,-2166.0,228,996430.75,stop_loss
2016,2021,2010-05-06 03:00:00,2010-05-06 08:00:00,long,4380.5,4362.0,-4218.0,228,994264.75,stop_loss
2022,2023,2010-05-06 09:00:00,2010-05-06 10:00:00,long,4377.25,4365.25,-2736.0,228,990046.75,stop_loss
2025,2026,2010-05-06 12:00:00,2010-05-06 13:00:00,long,4361.0,4346.5,-3320.5,229,987310.75,stop_loss
2027,2028,2010-05-06 14:00:00,2010-05-06 15:00:00,long,4294.75,4312.0,4002.0,232,983990.25,take_profit
2030,2034,2010-05-06 18:00:00,2010-05-06 22:00:00,long,4297.25,4315.25,4176.0,232,987992.25,take_profit
2037,2038,2010-05-07 01:00:00,2010-05-07 02:00:00,long,4300.0,4300.25,58.0,232,992168.25,eow
2039,2040,2010-05-07 03:00:00,2010-05-07 04:00:00,long,4311.75,4313.0,288.75,231,992226.25,eow
2042,2043,2010-05-07 06:00:00,2010-05-07 07:00:00,long,4327.25,4314.25,-3003.0,231,992515.0,stop_loss
2044,2045,2010-05-07 08:00:00,2010-05-07 09:00:00,long,4314.25,4293.5,-4793.25,231,989512.0,stop_loss
2047,2048,2010-05-07 11:00:00,2010-05-07 12:00:00,long,4291.75,4282.5,-2155.25,233,984718.75,stop_loss
2052,2053,2010-05-07 16:00:00,2010-05-09 18:00:00,long,4270.25,4301.25,7254.0,234,982563.5,take_profit
2055,2058,2010-05-09 20:00:00,2010-05-09 23:00:00,long,4309.5,4319.0,2204.0,232,989817.5,eod
2060,2062,2010-05-10 01:00:00,2010-05-10 03:00:00,long,4320.5,4345.25,5717.25,231,992021.5,take_profit
2066,2070,2010-05-10 07:00:00,2010-05-10 11:00:00,long,4346.75,4360.0,3047.5,230,997738.75,take_profit
2072,2074,2010-05-10 13:00:00,2010-05-10 15:00:00,long,4347.5,4360.75,3047.5,230,1000786.25,take_profit
2078,2081,2010-05-10 20:00:00,2010-05-10 23:00:00,long,4358.75,4355.25,-801.5,229,1003833.75,eod
2082,2084,2010-05-11 00:00:00,2010-05-11 02:00:00,long,4349.25,4342.75,-1488.5,229,1003032.25,stop_loss
2085,2086,2010-05-11 03:00:00,2010-05-11 04:00:00,long,4348.25,4340.75,-1717.5,229,1001543.75,stop_loss
